Mainnet

Contract             Proxy                                      Implementation                             Version CELO      cUSD      cEUR
GasPriceMinimum      0xd0Bf87a5936ee17014a057143a494Dc5C5d51E5e 0x6A0F33AD4c641f57ac2B1eA1cD457a83a578f82D 1.1.1.0 0         0         0
GoldToken            0xF194afDf50B03e69Bd7D057c1Aa9e10c9954E4C9 0xF469829b3b0D7f696720B34BDE0284E628bD448e 1.1.1.1 4.300e+19 2.441e+20 7.000e+19
Governance           0xAA963FC97281d9632d96700aB62A4D1340F9a28a 0xa3579981CE90F26549809243A12B024053cdc0c5 1.2.1.0 2.462e+23 7.261e+18 2.000e+24
GrandaMento          0xEcf09FCD57b0C8b1FD3DE92D59E234b88938485B 0x9906CC9EfD28892c9d35B8a0711E5222DB9AA36a 1.1.0.0 0         0         0
LockedGold           0x6a4CC5693DC5BFA3799C699F3B941bA2Cb00c341 0x3D66E7B60E34FA737AFcE4383687fd4A69cb9a7a 1.1.1.1 2.215e+23 1.000e+19 0
Random               0xdd318EEF001BB0867Cd5c134496D6cF5Aa32311F 0x67c6829506DdF66Ed824Fd1cCC40665588Bc4631 1.1.1.0 0         0         0
Registry             0x000000000000000000000000000000000000ce10 0x33011E0a33AF1F757396f2a5A1F2158bEd179Dfd NONE    0         0         0
Reserve              0xa7ed835288Aa4524bB6C73DD23c0bF4315D9Fe3e 0xbb1CF1ceEe58dcB7Bb2B579B7860E4F25FdD803F 1.1.2.1 1.009e+26 1.000e+19 1.000e+19
SortedOracles        0xFdd8bD58115FfBf04e47411c1d228eCC45E93075 0x0A1dfD7212Ab1Aac06F85AC4208a7Ff78a7bdFe6 1.1.2.0 1.000e+18 5.000e+16 0
StableToken          0x874069Fa1Eb16D44d622F2e0Ca25eeA172369bC1 0xD2e63f44565ceD986ce4FcD6119558e5ccF5b7cB 1.2.0.1 5.700e+19 1.602e+20 5.000e+19
StableTokenEUR       0x10c892A6EC43a53E45D0B916B4b7D383B1b78C0F 0xfE52C5E855268B48cCcF8f0C68a608bdf4Af3001 1.1.0.1 1.000e+19 2.000e+19 2.000e+19
TransferWhitelist    0x52449A99e3455acB831C0D580dCDAc8B290d5182 NONE                                       NONE    0         0         0
Validators           0x9acF2A99914E083aD0d610672E93d14b0736BBCc 0x6cf9fcF2e91fd13911c917b02C1E9BB30807b920 1.2.0.1 0         0         0
